City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Umm Kaddadah,13.6017,26.6876,77.58,60,87,7.47,SD,1661632502
Dingle,10.9995,122.6711,75.18,91,100,2.46,PH,1661632502
Leningradskiy,69.3833,178.4167,37.09,91,100,6.22,RU,1661632503
Saskylakh,71.9167,114.0833,45.34,92,99,9.91,RU,1661632503
Lidköping,58.5052,13.1577,62.62,96,100,4.5,SE,1661632503
Kaitangata,-46.2817,169.8464,47.14,81,100,2.46,NZ,1661632504
Coyhaique,-45.5752,-72.0662,46.35,46,20,8.05,CL,1661632436
Manaus,-3.1019,-60.025,91.9,55,20,5.75,BR,1661632505
Chui,-33.6971,-53.4616,53.71,84,78,18.97,UY,1661632505
Bluff,-46.6,168.3333,46.8,73,100,2.04,NZ,1661632506
Mumford,5.2618,-0.759,73.47,93,100,11.59,GH,1661632506
Tuktoyaktuk,69.4541,-133.0374,51.8,93,100,3.44,CA,1661632506
Saint Anthony,45.0205,-93.218,80.1,87,0,14.97,US,1661632507
Liverpool,53.4106,-2.9779,63.9,70,0,6.91,GB,1661632265
Guerrero Negro,27.9769,-114.0611,78.06,64,19,16.8,MX,1661632508
Vaini,-21.2,-175.2,75.36,83,20,6.91,TO,1661632508
Albany,42.6001,-73.9662,81.68,53,41,6.44,US,1661631835
Port Blair,11.6667,92.75,77.04,94,75,0.0,IN,1661632509
New Norfolk,-42.7826,147.0587,45.91,81,8,2.19,AU,1661632509
Murmashi,68.8154,32.8115,63.01,67,40,4.47,RU,1661632510
Dudinka,69.4058,86.1778,38.62,97,100,15.3,RU,1661632337
Krasnoarmeysk,51.0239,45.6969,71.26,32,97,5.32,RU,1661632510
Mosquera,4.7059,-74.2302,64.49,59,75,8.05,CO,1661632323
Labuhan,-6.8844,112.2051,75.15,78,32,10.56,ID,1661632511
Hamilton,39.1834,-84.5333,87.76,55,75,3.44,US,1661632511
Gibraleón,37.3763,-6.969,69.6,87,4,5.91,ES,1661632512
Butaritari,3.0707,172.7902,81.23,79,73,15.08,KI,1661632512
Hofn,64.2539,-15.2082,49.28,73,96,3.96,IS,1661632513
Port Alfred,-33.5906,26.891,57.33,73,0,8.48,ZA,1661632513
Aklavik,68.2191,-135.0107,61.68,56,18,12.8,CA,1661632514
Šilutė,55.3489,21.4831,66.65,57,2,7.4,LT,1661632515
Los Llanos de Aridane,28.6585,-17.9182,69.55,91,75,10.36,ES,1661632515
Alofi,-19.0595,-169.9187,76.89,73,40,8.05,NU,1661632516
Hammerfest,70.6634,23.6821,48.65,100,100,3.44,NO,1661632516
Cidreira,-30.1811,-50.2056,67.33,76,0,4.65,BR,1661632517
Batagay,67.6333,134.6333,50.29,87,100,5.68,RU,1661632518
Ilulissat,69.2167,-51.1,44.62,61,20,8.05,GL,1661632518
Atar,20.5169,-13.0499,96.12,29,8,7.94,MR,1661632519
Valparaíso,-33.0393,-71.6273,70.03,59,0,13.8,CL,1661632331
Kapaa,22.0752,-159.319,84.11,67,20,16.11,US,1661632519
Saint-Philippe,-21.3585,55.7679,67.59,85,48,12.15,RE,1661632520
Cockburn Town,21.4612,-71.1419,85.96,70,75,9.22,TC,1661632520
Norman Wells,65.282,-126.8329,64.44,63,75,9.22,CA,1661632235
Suez,29.9737,32.5263,76.87,76,0,11.14,EG,1661632521
Busselton,-33.65,115.3333,48.87,77,83,10.63,AU,1661632522
Pisco,-13.7,-76.2167,63.01,77,20,10.36,PE,1661632522
Mayo,38.8876,-76.5119,91.11,60,0,6.91,US,1661632522
Moindou,-21.6924,165.677,70.66,86,100,9.1,NC,1661632523
Lipari,38.4674,14.954,78.33,65,1,0.83,IT,1661632523
Itoman,26.1247,127.6694,82.42,94,40,4.61,JP,1661632524
San Quintín,30.4833,-115.95,74.14,72,4,13.04,MX,1661632525
Carmo do Rio Claro,-20.9719,-46.1189,72.52,34,3,2.73,BR,1661632525
Nikolskoye,59.7035,30.7861,66.87,69,4,4.07,RU,1661632526
Barrow,71.2906,-156.7887,37.42,100,100,9.22,US,1661632526
Kavieng,-2.5744,150.7967,81.7,79,74,13.98,PG,1661632527
Bredasdorp,-34.5322,20.0403,43.92,87,0,4.61,ZA,1661632527
Alta Floresta,-9.8756,-56.0861,96.62,32,40,2.3,BR,1661632528
Corrente,-3.7367,-43.3394,81.79,45,35,1.92,BR,1661632529
Opole Voivodeship,50.5,18.0,71.04,81,66,2.64,PL,1661632529
Saint Paul Harbor,57.79,-152.4072,56.71,72,100,11.5,US,1661632530
Tilichiki,60.4667,166.1,54.03,79,10,3.98,RU,1661632530
Port Lincoln,-34.7333,135.8667,57.06,51,61,19.33,AU,1661632531
Qaanaaq,77.484,-69.3632,37.15,62,97,2.59,GL,1661632531
Clyde River,70.4692,-68.5914,37.63,100,100,12.66,CA,1661632532
Entre Rios,-11.9419,-38.0844,68.27,88,17,4.61,BR,1661632532
Pamplonita,7.437,-72.638,66.51,89,98,3.27,CO,1661632533
Egvekinot,66.3167,-179.1667,42.01,71,62,1.03,RU,1661632516
Cap Malheureux,-19.9842,57.6142,71.47,79,62,5.99,MU,1661632533
Kirillov,59.863,38.3813,64.98,58,68,5.26,RU,1661632333
Sitka,57.0531,-135.33,58.89,88,100,5.75,US,1661632534
Shimoda,34.6667,138.95,75.11,84,76,5.48,JP,1661632534
Beisfjord,68.3751,17.5988,51.85,83,98,5.35,NO,1661632535
Nara,34.6851,135.8049,78.49,47,99,2.35,JP,1661632535
Acapulco de Juárez,16.8634,-99.8901,89.42,66,75,5.75,MX,1661632464
Cape Town,-33.9258,18.4232,54.12,72,0,5.75,ZA,1661632536
Hoquiam,46.9809,-123.8893,69.46,75,75,12.66,US,1661632537
Galeana,24.8333,-100.0667,74.97,57,76,8.21,MX,1661632537
Mumbai,19.0144,72.8479,82.38,78,40,4.61,IN,1661632508
Dikson,73.5069,80.5464,37.92,66,16,8.68,RU,1661632538
Vysokogornyy,50.1167,139.15,53.83,99,89,2.62,RU,1661632538
Maceió,-9.6658,-35.7353,74.64,88,75,2.3,BR,1661632478
Tarata,-17.6167,-66.0167,81.82,31,73,14.36,BO,1661632539
Mar del Plata,-38.0023,-57.5575,48.22,62,75,18.99,AR,1661632295
Rurrenabaque,-14.4413,-67.5278,92.52,33,44,5.79,BO,1661632540
Mel'nikovo,56.5558,84.085,44.67,73,99,6.24,RU,1661632540
Tasiilaq,65.6145,-37.6368,42.96,94,100,15.28,GL,1661632541
Yeppoon,-23.1333,150.7333,58.78,71,56,15.64,AU,1661632541
Nanortalik,60.1432,-45.2371,42.21,83,100,9.64,GL,1661632542
Yanam,16.7333,82.2167,77.11,92,100,3.4,IN,1661632542
Ribeira Grande,38.5167,-28.7,77.4,78,75,16.11,PT,1661632543
Quirinópolis,-18.4483,-50.4517,85.03,22,4,6.08,BR,1661632544
Ampanihy,-24.7,44.75,68.56,55,2,5.79,MG,1661632544
Payson,40.0444,-111.7321,91.26,23,40,7.0,US,1661632545
São João da Barra,-21.6403,-41.0511,75.29,84,1,21.54,BR,1661632545
Araouane,18.9048,-3.5265,102.29,17,2,7.34,ML,1661632546
Aksarka,66.5606,67.7975,47.44,96,100,4.76,RU,1661632546
Pizhanka,57.4604,48.542,66.79,54,32,5.84,RU,1661632547
Fujin,47.26,132.0322,49.6,95,50,8.23,CN,1661632547
Bengkulu,-3.8004,102.2655,74.17,91,100,4.68,ID,1661632548
Severo-Kuril'sk,50.6789,156.125,59.02,99,100,11.01,RU,1661632549
Madingou,-4.1536,13.55,78.75,57,62,5.46,CG,1661632549
Iisalmi,63.5592,27.1907,60.12,86,100,3.8,FI,1661632550
Vardø,70.3705,31.1107,55.38,94,100,8.05,NO,1661632550
Chu,43.5983,73.7614,68.14,29,0,8.01,KZ,1661632551
Vershino-Shakhtaminskiy,51.3012,117.8868,45.03,71,88,3.74,RU,1661632551
Mount Gambier,-37.8333,140.7667,52.75,65,90,8.75,AU,1661632331
Pangai,-19.8,-174.35,75.38,72,0,11.92,TO,1661632552
Daru,-9.0763,143.2092,77.85,91,100,13.13,PG,1661632553
Lompoc,34.6391,-120.4579,86.77,68,0,16.11,US,1661632553
Bethel,41.3712,-73.414,87.04,48,50,1.01,US,1661632554
Kutum,14.2,24.6667,73.04,61,100,6.98,SD,1661632554
Kathmandu,27.7167,85.3167,73.62,88,75,4.61,NP,1661632555
Baykit,61.67,96.37,41.59,94,100,5.01,RU,1661632555
Hobart,-42.8794,147.3294,46.27,93,20,4.61,AU,1661632350
Leshukonskoye,64.8989,45.7622,58.84,96,6,4.72,RU,1661632389
Kahului,20.8947,-156.47,87.82,62,20,25.32,US,1661632556
Kampot,10.6167,104.1833,78.85,86,99,3.13,KH,1661632557
Cabo San Lucas,22.8909,-109.9124,96.1,46,75,14.97,MX,1661632316
Imbituba,-28.24,-48.6703,70.88,76,0,9.62,BR,1661632471
Longyearbyen,78.2186,15.6401,35.44,69,20,18.41,SJ,1661632558
Chipinge,-20.1883,32.6236,58.53,72,0,5.82,ZW,1661632558
Mehamn,71.0357,27.8492,51.71,100,100,13.8,NO,1661632559
Frutigen,46.5878,7.6475,62.28,89,45,1.81,CH,1661632560
Korčula,42.9622,17.1369,77.36,79,18,3.31,HR,1661632561
Sol'-Iletsk,51.1631,54.9918,72.45,34,7,6.89,RU,1661632561
Muzhi,65.3667,64.6667,60.39,59,100,16.33,RU,1661632562
Uvira,-3.4067,29.1458,76.71,60,27,2.55,CD,1661632562
Bushehr,28.9684,50.8385,91.49,58,0,4.61,IR,1661632563
Khatanga,71.9667,102.5,35.29,94,100,11.07,RU,1661632563
Laguna,38.421,-121.4238,94.32,41,0,9.22,US,1661632358
Gōtsuchō,35.0,132.2167,69.67,81,67,8.23,JP,1661632564
Ponta do Sol,32.6667,-17.1,72.23,53,44,2.33,PT,1661632564
Alexander City,32.944,-85.9539,88.48,66,0,10.36,US,1661632565
Sola,-13.8833,167.55,78.94,78,100,21.59,VU,1661632565
Novikovo,51.1537,37.8879,76.6,20,100,9.04,RU,1661632566
Halmstad,56.6745,12.8568,66.02,100,100,2.3,SE,1661632566
San Miguel de Cozumel,20.5083,-86.9458,89.67,86,75,5.01,MX,1661632482
Yangi Marg`ilon,40.4272,71.7189,72.32,35,6,9.22,UZ,1661632567
Marawi,7.9986,124.2928,66.87,92,100,3.24,PH,1661632568
Sur,22.5667,59.5289,82.9,65,0,12.3,OM,1661632568
Touho,-20.7833,165.2333,73.35,81,100,18.79,NC,1661632569
Maragogi,-9.0122,-35.2225,73.72,84,81,13.06,BR,1661632569
Yellowknife,62.456,-114.3525,68.52,40,40,3.44,CA,1661632565
Charters Towers,-20.1,146.2667,64.18,84,97,11.21,AU,1661632570
Souillac,-20.5167,57.5167,71.98,88,75,13.8,MU,1661632571
Provideniya,64.3833,-173.3,48.09,82,86,5.1,RU,1661632571
Ola,59.5833,151.2833,53.15,91,100,3.78,RU,1661632572
Port Elizabeth,-33.918,25.5701,56.32,78,75,11.5,ZA,1661632420
Tura,25.5198,90.2201,74.52,93,100,7.52,IN,1661632572
Kibala,9.1104,18.3463,75.15,94,40,3.44,TD,1661632573
Arraial do Cabo,-22.9661,-42.0278,75.16,78,0,18.41,BR,1661632573
Touros,-5.1989,-35.4608,76.24,78,76,15.05,BR,1661632574
Saint-Augustin,51.226,-58.6502,56.84,74,76,9.48,CA,1661632574
São Filipe,14.8961,-24.4956,78.13,84,100,12.01,CV,1661632575
Esperance,-33.8667,121.9,48.0,80,38,20.8,AU,1661632575
Nicoya,10.1483,-85.452,83.35,74,100,3.0,CR,1661632576
El Guamo,10.0316,-74.9761,83.07,76,82,11.3,CO,1661632576
Jiuquan,39.7432,98.5174,64.45,51,100,10.94,CN,1661632577
Sabha,27.0377,14.4283,90.3,19,16,16.33,LY,1661632578
Kaeo,-35.1,173.7833,56.32,92,7,6.08,NZ,1661632578
Dīr,35.2058,71.8756,67.23,69,50,5.48,PK,1661632579
Vao,-22.6667,167.4833,69.6,82,100,22.95,NC,1661632579
Quatre Cocos,-20.2078,57.7625,71.71,87,66,17.18,MU,1661632580
Hīt,33.6416,42.8251,90.61,19,0,11.81,IQ,1661632580
Airai,-8.9266,125.4092,55.56,84,58,2.57,TL,1661632581
Bathsheba,13.2167,-59.5167,86.61,70,40,13.8,BB,1661632582
Cururupu,-1.8283,-44.8683,77.27,78,76,5.01,BR,1661632582
Sinnamary,5.3833,-52.95,81.7,77,17,9.04,GF,1661632583
Dongsheng,39.8161,109.9776,54.18,90,100,7.54,CN,1661632583
Oistins,13.0667,-59.5333,86.09,70,40,13.8,BB,1661632584
Coahuayana Viejo,18.7333,-103.6833,87.57,63,68,7.34,MX,1661632584
Avarua,-21.2078,-159.775,77.05,69,12,14.97,CK,1661632585
Anaconda,46.1285,-112.9423,79.79,23,46,19.73,US,1661632585
Nova Russas,-4.7067,-40.5631,85.26,27,76,4.99,BR,1661632586
La Bañeza,42.3003,-5.8977,74.64,38,67,3.49,ES,1661632587
Auki,-8.7676,160.7034,77.54,83,96,4.72,SB,1661632587
Aksay,47.26,39.87,84.25,20,61,14.0,RU,1661632588
Klaksvík,62.2266,-6.589,49.12,79,84,6.55,FO,1661632588
Olinda,-8.0089,-34.8553,73.13,88,100,2.3,BR,1661632347
Rocha,-34.4833,-54.3333,50.7,74,99,19.55,UY,1661632589
Kapit,2.0167,112.9333,72.61,100,98,0.51,MY,1661632590
Khambhāt,22.3,72.6167,81.45,66,37,10.18,IN,1661632591
Yulara,-25.2406,130.9889,47.68,31,0,3.87,AU,1661632591
George Town,5.4112,100.3354,78.73,93,40,2.3,MY,1661632399
Bratsk,56.1325,101.6142,48.69,88,76,16.98,RU,1661632592
Hasaki,35.7333,140.8333,79.29,88,100,4.38,JP,1661632592
Pacific Grove,36.6177,-121.9166,74.34,74,0,11.01,US,1661632593
Pevek,69.7008,170.3133,36.93,88,100,4.14,RU,1661632593
Richards Bay,-28.783,32.0377,67.24,78,89,12.62,ZA,1661632594
Luwingu,-10.2621,29.9271,63.3,31,23,4.81,ZM,1661632595
Waingapu,-9.6567,120.2641,72.3,82,31,5.82,ID,1661632595
Meulaboh,4.1363,96.1285,75.42,89,99,4.74,ID,1661632596
Cayenne,4.9333,-52.3333,82.44,69,0,2.3,GF,1661632596
Waipawa,-41.4122,175.5153,47.07,84,100,7.94,NZ,1661632597
Taoudenni,22.6783,-3.9836,98.78,23,37,17.98,ML,1661632597
Vila,42.0304,-8.1588,65.7,44,67,0.85,PT,1661632598
Kinsale,51.7075,-8.5306,62.24,63,75,2.3,IE,1661632598
Upernavik,72.7868,-56.1549,38.88,91,77,10.83,GL,1661632599
Puerto Escondido,15.85,-97.0667,88.63,58,20,5.75,MX,1661632321
Shetpe,44.1667,52.1167,78.89,23,0,6.31,KZ,1661632600
Miandrivazo,-19.5167,45.4667,71.15,73,0,2.04,MG,1661632601
Atasū,48.6814,71.6433,67.95,39,64,7.0,KZ,1661632601
Margate,51.3813,1.3862,64.87,73,75,5.01,GB,1661632602
Bouna,9.2667,-3.0,70.81,96,100,4.9,CI,1661632602
Sabang,5.8933,95.3214,81.16,78,100,13.15,ID,1661632603
Bambous Virieux,-20.3428,57.7575,71.85,88,75,13.8,MU,1661632603
Stykkisholmur,65.0757,-22.7297,50.04,72,100,7.81,IS,1661632604
Chapais,49.7834,-74.8492,65.98,44,40,9.86,CA,1661632604
Abu Samrah,35.3029,37.1841,81.91,29,0,1.86,SY,1661632605
Suoyarvi,62.0833,32.35,57.7,95,17,2.17,RU,1661632605
Tongren,27.7172,109.1853,75.6,91,99,1.74,CN,1661632606
Irbeyskoye,55.6428,95.4522,43.59,87,98,13.47,RU,1661632606
Setermoen,68.861,18.3486,53.11,73,96,5.01,NO,1661632607
Zhangye,38.9342,100.4517,58.57,82,100,2.53,CN,1661632351
Pakdasht,35.4752,51.6807,80.6,11,0,4.54,IR,1661632608
Antalaha,-14.9003,50.2788,64.65,84,12,7.72,MG,1661632608
Rabat,33.9911,-6.8401,71.67,78,100,3.44,MA,1661632609
Prince Rupert,54.3161,-130.3201,56.89,92,100,24.16,CA,1661632575
Alihe,50.5667,123.7167,48.45,86,15,2.44,CN,1661632610
Kedrovyy,56.1667,91.8167,45.01,91,100,8.21,RU,1661632610
Kidal,18.4411,1.4078,84.65,47,82,22.59,ML,1661632611
Fortuna,40.5982,-124.1573,68.34,91,75,6.91,US,1661632611
Horní Bříza,49.8401,13.3556,67.08,95,40,1.14,CZ,1661632612
Tadine,-21.55,167.8833,72.59,84,100,17.36,NC,1661632612
Andilamena,-17.0167,48.5833,53.19,95,31,5.66,MG,1661632613
Bafoulabé,13.8065,-10.8321,74.25,96,100,9.64,ML,1661632613
Itaituba,-4.2761,-55.9836,86.16,74,75,11.5,BR,1661632374
Morehead,37.2711,-87.1764,91.15,56,0,5.75,US,1661632442
Olímpia,-20.7372,-48.9147,80.42,24,8,4.41,BR,1661632458
Half Moon Bay,37.4636,-122.4286,89.89,71,75,12.66,US,1661632614
Altay,47.8667,88.1167,52.07,63,0,2.08,CN,1661632615
Bougouni,11.417,-7.479,71.94,93,100,3.33,ML,1661632615
Salinas,36.6777,-121.6555,81.99,60,0,11.5,US,1661632453
Molina,-35.1167,-71.2833,60.53,51,0,11.5,CL,1661632616
Deputatsky,69.3,139.9,47.66,72,85,1.7,RU,1661632616
Igrim,63.1906,64.4162,53.24,66,0,8.25,RU,1661632617
Mattru,7.6244,-11.8332,72.41,97,98,4.47,SL,1661632617
Khanbari,27.3747,87.2039,71.92,99,100,2.01,NP,1661632618
Talnakh,69.4865,88.3972,38.21,98,100,5.68,RU,1661632618
Mackay,-21.15,149.2,66.69,80,100,15.77,AU,1661632402
Acaraú,-2.8856,-40.12,77.95,78,37,18.07,BR,1661632606
Tubualá,9.5167,-79.0333,82.49,75,100,2.26,PA,1661632619
Kushmurun,52.4503,64.6311,63.27,66,0,8.84,KZ,1661632620
Morón,-34.6534,-58.6198,60.93,41,99,12.53,AR,1661632620
Guarapari,-20.6667,-40.4975,73.89,82,89,16.64,BR,1661632395
Galle,6.0367,80.217,77.58,87,100,16.08,LK,1661632399
Mil'kovo,54.7167,158.6167,58.95,74,100,1.45,RU,1661632393
Mizhou,35.9947,119.3975,65.79,66,100,2.75,CN,1661632621
Kiama,-34.6833,150.8667,48.58,95,64,3.38,AU,1661632622
Yumen,40.2833,97.2,63.52,49,98,8.59,CN,1661632622
Bestöbe,52.4994,73.0975,54.63,55,1,7.67,KZ,1661632623
Vieques,18.425,-65.8329,89.85,66,40,16.11,PR,1661632623
Deogarh,21.5333,84.7333,78.1,88,100,0.94,IN,1661632624
Tuatapere,-46.1333,167.6833,46.15,80,82,3.02,NZ,1661632624
Matagami,49.7502,-77.6328,73.51,49,20,9.22,CA,1661632625
Derzhavīnsk,51.1,66.3167,64.6,74,25,11.79,KZ,1661632625
San Fernando,15.0286,120.6898,82.13,89,91,1.21,PH,1661632626
Omboué,-1.5746,9.2618,73.24,81,17,8.39,GA,1661632626
Honiara,-9.4333,159.95,77.61,82,98,7.67,SB,1661632627
Zlobin,45.2924,14.6541,65.59,85,20,5.75,HR,1661632627
Paso de los Toros,-32.8167,-56.5167,59.38,67,77,18.43,UY,1661632628
Port Hedland,-20.3167,118.5667,59.05,100,75,8.05,AU,1661632629
Tual,-5.6667,132.75,79.41,82,80,14.54,ID,1661632629
Lebyazh'ye,55.2689,66.4947,50.63,70,62,4.09,RU,1661632629
Staryy Nadym,65.6118,72.6842,45.59,75,100,7.2,RU,1661632630
Kang,-23.6752,22.7876,63.88,21,0,9.69,BW,1661632631
Mīnāb,27.1467,57.0801,85.6,64,0,2.93,IR,1661632631
Gejiu,23.306,103.1635,56.95,97,90,2.46,CN,1661632631
Las Vegas,36.175,-115.1372,105.76,15,0,9.22,US,1661631865
Lindi,-10.0,39.7167,66.85,91,6,2.89,TZ,1661632632
Muravlenko,63.7898,74.523,47.35,93,100,9.95,RU,1661632633
Tomatlán,19.9333,-105.25,85.21,73,42,6.55,MX,1661632633
Mēga,4.05,38.3,59.5,72,63,14.56,ET,1661632634
Kannur,11.8675,75.3576,75.9,89,100,6.8,IN,1661632634
Mocuba,-16.8392,36.9856,68.86,66,0,3.96,MZ,1661632635
Arlit,18.7369,7.3853,85.39,48,100,11.39,NE,1661632635
Nagato,34.3833,131.2,74.05,72,81,15.55,JP,1661632636
Port Hardy,50.6996,-127.4199,64.58,68,75,11.5,CA,1661632636
Henties Bay,-22.116,14.2845,52.9,88,0,8.63,NA,1661632636
Zharkent,44.1628,80.0,60.89,43,5,4.7,KZ,1661632637
Dubai,25.2582,55.3047,90.46,46,0,9.1,AE,1661632603
San Cristobal,7.7669,-72.225,82.58,62,56,6.58,VE,1661632638
Nurota,40.5614,65.6886,70.43,21,0,5.1,UZ,1661632638
Mazarrón,37.5992,-1.3149,80.44,77,1,6.53,ES,1661632639
Tūkrah,32.5341,20.5791,79.56,72,4,2.89,LY,1661632639
Nandaime,11.757,-86.0529,90.46,57,28,7.25,NI,1661632640
Beloha,-25.1667,45.05,67.59,65,0,5.66,MG,1661632640
Alakurtti,66.9672,30.3491,57.74,85,100,7.49,RU,1661632641
Vitim,59.4511,112.5578,47.53,78,99,3.18,RU,1661632642
Arequipa,-16.3989,-71.535,66.27,14,0,10.36,PE,1661632362
Tigil',57.8,158.6667,58.3,76,99,3.36,RU,1661632642
Bam,29.106,58.357,78.62,8,0,8.5,IR,1661632643
Camacupa,-12.0167,17.4833,69.42,25,8,2.08,AO,1661632643
Vicksburg,32.3526,-90.8779,88.03,66,40,5.75,US,1661632492
Quatá,-22.2475,-50.6983,78.53,33,32,3.38,BR,1661632644
Koumac,-20.5667,164.2833,73.83,82,100,8.88,NC,1661632645
Blairmore,49.6,-114.4353,64.27,76,44,19.86,CA,1661632645
Lüderitz,-26.6481,15.1594,54.25,77,0,10.36,NA,1661632646
Sheridan,44.8333,-106.9173,91.78,19,0,14.97,US,1661632646
Bonavista,48.6499,-53.1147,66.7,85,73,17.52,CA,1661632647
Pontes e Lacerda,-15.2261,-59.3353,97.0,19,9,6.26,BR,1661632647
Panabá,21.2833,-88.2667,84.45,70,80,11.81,MX,1661632648
Grindavik,63.8424,-22.4338,53.55,93,75,13.8,IS,1661632649
Pangnirtung,66.1451,-65.7125,48.7,56,92,4.94,CA,1661632649
Hornepayne,49.2138,-84.7705,79.39,46,100,11.63,CA,1661632650
Ossora,59.2353,163.0719,58.82,71,50,3.22,RU,1661632650
Valdivia,-39.8142,-73.2459,53.69,68,62,2.68,CL,1661632651
Lata,40.1629,-8.3327,63.81,87,0,0.78,PT,1661632651
Lauingen,48.5677,10.4271,66.56,81,100,6.2,DE,1661632652
Urman,54.8831,56.8742,62.15,75,3,1.86,RU,1661632652
Kandiari,26.9156,68.5216,80.1,77,0,9.31,PK,1661632653
Pokhara,28.2333,83.9833,72.43,97,100,1.07,NP,1661632653
Ugoofaaru,5.6667,73.0,79.36,83,100,12.77,MV,1661632654
Marrakesh,31.6315,-8.0083,80.67,50,20,9.22,MA,1661632369
Ippy,6.2679,21.2247,66.9,98,98,3.31,CF,1661632654
Fairbanks,64.8378,-147.7164,56.61,88,100,1.01,US,1661632655
Ketchikan,55.3422,-131.6461,57.67,94,100,12.66,US,1661632655
Camargo,27.6667,-105.1667,86.49,38,90,5.21,MX,1661632656
Mataram,-8.5833,116.1167,74.21,85,100,9.51,ID,1661632656
Leh,34.1667,77.5833,62.64,47,28,6.17,IN,1661632633
Örnsköldsvik,63.2909,18.7153,56.35,88,100,12.66,SE,1661632657
Poum,-20.2333,164.0167,74.05,81,100,10.94,NC,1661632657
Chico,39.7285,-121.8375,98.64,27,0,0.0,US,1661632395
