,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
59,Myingyan,21.4667,95.3833,78.82,85,65,10.51,MM,1661195882
60,Hobyo,5.3505,48.5268,76.48,86,5,25.77,SO,1661195883
61,Busselton,-33.65,115.3333,44.2,85,16,10.07,AU,1661195883
62,Labuhan,-6.8844,112.2051,77.02,82,37,7.63,ID,1661195883
63,Biysk,52.5364,85.2072,52.3,79,100,3.49,RU,1661195884
64,Jamestown,42.097,-79.2353,71.19,72,100,17.27,US,1661195885
65,Hasaki,35.7333,140.8333,75.29,93,33,3.0,JP,1661195885
66,Dikson,73.5069,80.5464,40.68,95,100,7.94,RU,1661195886
67,Kenai,60.5544,-151.2583,56.14,96,100,12.66,US,1661195872
68,Bourail,-21.5667,165.4833,65.79,91,19,4.88,NC,1661195887
69,Kapaa,22.0752,-159.319,84.18,70,20,14.97,US,1661195887
70,Takoradze,4.8845,-1.7554,75.52,86,96,11.12,GH,1661195799
71,São João do Piauí,-8.3581,-42.2467,90.72,25,100,9.98,BR,1661195888
72,Awjilah,29.1081,21.2869,88.09,33,0,5.88,LY,1661195888
73,Berlevåg,70.8578,29.0864,62.4,82,75,1.14,NO,1661195889
74,Uruçuí,-7.2294,-44.5561,95.52,22,34,8.32,BR,1661195889
75,Yarim,14.298,44.3779,61.48,70,79,0.27,YE,1661195890
76,Amapá,1.0,-52.0,84.94,58,100,3.18,BR,1661195767
77,Payyanur,12.1,75.2,76.68,88,99,6.42,IN,1661195890
78,Upernavik,72.7868,-56.1549,41.95,58,100,4.81,GL,1661195891
79,Jumla,29.2747,82.1838,61.3,85,45,2.48,NP,1661195891
80,Bethel,41.3712,-73.414,76.59,83,100,3.44,US,1661195892
81,Puerto Ayora,-0.7393,-90.3518,75.16,91,100,10.0,EC,1661195892
82,Bredasdorp,-34.5322,20.0403,49.39,88,100,4.85,ZA,1661195722
83,Marsabit,2.3284,37.9899,69.33,40,6,22.95,KE,1661195893
84,Vardø,70.3705,31.1107,58.98,82,40,4.61,NO,1661195894
85,Tura,25.5198,90.2201,76.59,91,100,0.78,IN,1661195894
86,Muisne,0.6,-80.0333,77.83,75,95,8.52,EC,1661195895
87,Kimbe,-5.5502,150.1429,73.38,92,13,2.73,PG,1661195896
88,Odesskoye,54.2111,72.9651,52.29,72,26,3.51,RU,1661195896
89,Çanta,41.1181,28.0803,75.67,88,0,11.5,TR,1661195897
90,Quzhou,28.9594,118.8686,84.4,62,100,2.75,CN,1661195897
91,Tūkrah,32.5341,20.5791,80.62,62,0,3.89,LY,1661195898
92,Tiksi,71.6872,128.8694,38.52,84,100,10.2,RU,1661195898
93,Leamington,42.0549,-82.6062,82.87,69,24,7.0,CA,1661195899
94,Kommunar,59.6206,30.39,69.33,85,97,2.53,RU,1661195899
95,Necochea,-38.5473,-58.7368,58.32,58,100,10.76,AR,1661195865
96,Gwanda,-20.9333,29.0,56.53,52,37,6.76,ZW,1661195900
97,Ikare,7.4913,5.2322,71.58,97,100,5.73,NG,1661195901
98,Balkhash,46.844,74.9804,67.23,34,44,8.63,KZ,1661195901
99,Remanso,-9.6179,-42.0831,83.71,36,83,7.9,BR,1661195902
100,Arraial do Cabo,-22.9661,-42.0278,67.96,73,75,10.36,BR,1661195902
101,Lithakia,37.7167,20.8333,78.08,69,20,3.44,GR,1661195903
102,Kumluca,36.3703,30.2869,78.89,72,0,2.19,TR,1661195903
103,Barabash,43.2,131.4833,58.1,85,0,5.1,RU,1661195904
104,Geraldton,-28.7667,114.6,55.81,54,0,21.85,AU,1661195904
105,Filingué,14.3521,3.3168,95.47,38,96,8.3,NE,1661195905
106,Dhārchula,29.85,80.5333,71.91,92,71,2.46,IN,1661195906
107,Bandarbeyla,9.4942,50.8122,76.87,75,70,29.37,SO,1661195906
108,Ati,13.2154,18.3353,85.28,64,70,9.6,TD,1661195906
109,Lebu,-37.6167,-73.65,53.64,83,100,9.17,CL,1661195886
110,Aktanysh,55.7216,54.0829,66.09,55,0,4.41,RU,1661195907
111,Shimoda,34.6667,138.95,75.11,89,75,2.21,JP,1661195908
112,Anadyr,64.75,177.4833,48.7,87,100,6.71,RU,1661195908
113,Sémbé,1.6481,14.5806,70.45,98,100,2.75,CG,1661195909
114,Port Alfred,-33.5906,26.891,58.33,75,6,1.07,ZA,1661195909
115,San Patricio,28.017,-97.5169,95.18,43,100,12.3,US,1661195721
116,Horsham,51.064,-0.3272,68.02,90,75,3.44,GB,1661195871
117,Mahébourg,-20.4081,57.7,72.25,88,75,6.91,MU,1661195805
118,Manono,-7.3,27.4167,82.44,29,25,5.84,CD,1661195911
119,Port Elizabeth,-33.918,25.5701,54.1,94,0,2.3,ZA,1661195911
120,Pevek,69.7008,170.3133,45.79,78,100,20.29,RU,1661195912
121,Nampa,43.5407,-116.5635,93.29,34,0,4.61,US,1661195799
122,Muncar,-8.4333,114.3333,74.14,87,49,6.8,ID,1661195913
123,Avera,33.194,-82.5271,81.91,53,95,8.99,US,1661195917
124,Andenes,69.3143,16.1194,52.93,87,75,16.11,NO,1661195918
125,Barrow,71.2906,-156.7887,33.82,86,100,25.32,US,1661195809
126,Itambacuri,-18.0311,-41.685,76.37,46,99,7.23,BR,1661195919
127,Lagoa,39.05,-27.9833,73.2,78,75,12.08,PT,1661195920
128,Tasiilaq,65.6145,-37.6368,46.56,79,23,1.59,GL,1661195920
129,La Ronge,55.1001,-105.2842,70.05,56,40,6.91,CA,1661195921
130,Castro,-24.7911,-50.0119,60.55,76,100,6.13,BR,1661195921
131,Saint Paul Harbor,57.79,-152.4072,54.91,94,100,13.8,US,1661195922
132,Souillac,-20.5167,57.5167,70.18,88,75,6.91,MU,1661195922
133,Ankang,32.68,109.0172,82.83,66,100,4.83,CN,1661195662
134,Sovetskaya Gavan',48.9723,140.2878,61.86,93,100,8.99,RU,1661195923
135,Abbeville,50.1,1.8333,73.49,67,99,4.94,FR,1661195816
136,Lagunas,-5.2269,-75.6753,91.09,33,59,3.65,PE,1661195924
137,Beringovskiy,63.05,179.3167,51.44,91,100,6.62,RU,1661195860
138,Camopi,3.1655,-52.3158,81.01,74,100,1.21,GF,1661195889
139,Linxia Chengguanzhen,35.6003,103.2064,63.32,83,100,1.39,CN,1661195929
140,Coquimbo,-29.9533,-71.3436,58.73,72,20,9.22,CL,1661195929
141,Doka,13.5167,35.7667,74.71,76,100,4.05,SD,1661195930
142,Santa Cruz de la Sierra,-17.8,-63.1667,81.86,28,0,3.44,BO,1661195899
143,Laas,46.6166,10.7002,70.68,72,5,6.33,IT,1661195721
144,Lagos,6.5833,3.75,75.6,89,100,7.87,NG,1661195931
145,Ürümqi,43.801,87.6005,54.55,67,0,6.71,CN,1661195932
146,Departamento de Maldonado,-34.6667,-54.9167,58.39,54,5,10.02,UY,1661195932
147,Bambous Virieux,-20.3428,57.7575,72.21,88,75,6.91,MU,1661195933
148,Kaitangata,-46.2817,169.8464,38.03,94,12,4.32,NZ,1661195933
149,Gornopravdinsk,60.05,69.9,56.23,96,51,2.44,RU,1661195936
150,Alvorada,-12.48,-49.1247,91.92,21,19,8.57,BR,1661195937
151,Kaeo,-35.1,173.7833,51.33,93,49,10.36,NZ,1661195938
152,Pangody,65.85,74.4859,59.81,89,100,8.99,RU,1661195938
153,Ponta do Sol,32.6667,-17.1,75.83,70,32,6.6,PT,1661195939
154,Butaritari,3.0707,172.7902,80.35,78,9,12.77,KI,1661195939
155,Kailua,21.4022,-157.7394,84.18,66,20,11.5,US,1661195940
156,Hamilton,39.1834,-84.5333,79.75,75,75,9.22,US,1661195851
157,Luorong,24.4058,109.6086,80.47,85,100,2.33,CN,1661195941
158,Karratha,-20.7377,116.8463,70.43,25,0,11.18,AU,1661195888
159,Santa Maria,-29.6842,-53.8069,65.88,59,3,6.55,BR,1661195927
160,Port Pirie,-33.1833,138.0167,42.51,86,17,8.99,AU,1661195941
161,Pacific Grove,36.6177,-121.9166,78.35,81,40,5.99,US,1661195908
162,Surgut,61.25,73.4167,51.98,100,0,0.0,RU,1661195942
163,Aguié,13.506,7.7786,82.98,58,100,3.38,NE,1661195943
164,Khatanga,71.9667,102.5,46.62,71,100,10.18,RU,1661195943
165,Sinnamary,5.3833,-52.95,81.27,82,73,2.28,GF,1661195944
166,Cherskiy,68.75,161.3,55.4,76,100,16.11,RU,1661195944
167,Kruisfontein,-34.0033,24.7314,51.89,89,6,3.15,ZA,1661195866
168,Jalu,29.0331,21.5482,88.12,31,0,8.93,LY,1661195945
169,Nānākuli,21.3906,-158.1547,84.15,56,0,8.05,US,1661195945
170,Luena,-11.7833,19.9167,64.29,34,32,3.33,AO,1661195946
171,Asău,46.4333,26.4,65.32,91,79,3.78,RO,1661195947
172,Dingle,10.9995,122.6711,75.29,90,100,6.11,PH,1661195947
173,Denpasar,-8.65,115.2167,78.46,83,75,14.97,ID,1661195948
174,Merrill,45.1805,-89.6835,80.62,49,75,6.91,US,1661195948
175,Tekeli,44.83,78.8239,51.39,40,0,9.37,KZ,1661195948
176,Kavieng,-2.5744,150.7967,80.98,71,14,10.27,PG,1661195949
177,Guerrero Negro,27.9769,-114.0611,77.68,64,90,12.88,MX,1661195949
178,Inongo,-1.95,18.2667,65.66,96,100,1.72,CD,1661195950
179,Igarapava,-20.0383,-47.7469,83.32,23,8,2.68,BR,1661195950
180,George Town,5.4112,100.3354,82.33,87,20,3.44,MY,1661195732
181,Nikšić,42.7731,18.9445,66.67,85,31,4.59,ME,1661195951
182,Corinth,37.9407,22.9573,77.9,80,1,2.98,GR,1661195951
183,Mwinilunga,-11.7358,24.4293,66.13,36,6,4.83,ZM,1661195952
184,Margate,51.3813,1.3862,69.87,73,53,3.0,GB,1661195952
185,Mount Gambier,-37.8333,140.7667,44.38,59,66,10.78,AU,1661195953
186,Vila Velha,-20.3297,-40.2925,71.55,70,75,16.11,BR,1661195728
187,Sitka,57.0531,-135.33,62.49,77,75,5.75,US,1661195954
188,Verkhnevilyuysk,63.4453,120.3167,41.83,94,100,5.84,RU,1661195954
189,Mehamn,71.0357,27.8492,55.35,76,75,9.22,NO,1661195955
190,Manyoni,-5.7467,34.8382,69.46,41,16,10.58,TZ,1661195955
191,Kamina,-8.7386,24.9906,72.32,35,8,5.55,CD,1661195956
192,Alyangula,-13.8483,136.4192,58.87,94,100,2.3,AU,1661195956
193,Pangnirtung,66.1451,-65.7125,48.2,81,75,14.97,CA,1661195957
194,Khorixas,-20.3667,14.9667,68.72,10,0,6.62,NA,1661195957
195,Kokopo,-4.352,152.2633,74.75,82,74,4.07,PG,1661195958
196,Ambilobe,-13.2,49.05,68.41,68,15,4.74,MG,1661195958
197,Petropavlovsk-Kamchatskiy,53.0452,158.6483,52.39,100,20,2.24,RU,1661195959
198,Zheleznodorozhnyy,55.7503,38.0042,75.72,43,100,4.81,RU,1661195959
199,Kikwit,-5.041,18.8162,74.43,78,98,1.99,CD,1661195960
200,Dzaoudzi,-12.7887,45.2699,75.09,78,0,9.22,YT,1661195960
201,Normandin,48.8333,-72.5321,77.13,57,75,5.75,CA,1661195961
202,San Quintín,30.4833,-115.95,74.19,72,5,14.36,MX,1661195939
203,Lompoc,34.6391,-120.4579,86.68,72,0,11.5,US,1661195961
204,Tuktoyaktuk,69.4541,-133.0374,39.2,87,100,12.66,CA,1661195962
205,Vakhrushev,48.9833,142.9667,62.42,91,100,6.69,RU,1661195963
206,Ramsar,36.9226,50.6426,78.24,73,40,0.0,IR,1661195963
207,Ust-Nera,64.5667,143.2,52.25,97,100,2.64,RU,1661195964
208,Misratah,32.3754,15.0925,81.93,64,8,12.08,LY,1661195964
209,Adwa,14.1646,38.8955,61.99,87,57,2.21,ET,1661195965
210,Waynesville,35.4887,-82.9887,80.85,73,100,3.0,US,1661195965
211,East London,-33.0153,27.9116,60.64,73,45,3.83,ZA,1661195966
212,Luís Correia,-2.8792,-41.6669,86.0,66,0,16.11,BR,1661195966
213,Mizdah,31.4451,12.9801,79.86,38,6,11.79,LY,1661195967
214,Santiago,-33.4569,-70.6483,72.25,64,100,3.44,CL,1661195755
215,Boyolangu,-8.1181,111.8935,73.29,92,79,5.68,ID,1661195967
216,Naze,28.3667,129.4833,79.72,87,100,11.63,JP,1661195968
217,Los Alamos,35.8881,-106.307,73.94,73,21,5.64,US,1661195968
218,Kamenka,51.3223,42.7678,73.78,40,0,10.96,RU,1661195969
219,Yangi Marg`ilon,40.4272,71.7189,72.32,37,45,4.61,UZ,1661195959
220,Saskylakh,71.9167,114.0833,40.93,78,82,4.27,RU,1661195969
221,Tongchuanshi,35.0806,109.0897,74.86,63,98,8.32,CN,1661195970
222,Makakilo City,21.3469,-158.0858,82.72,57,0,8.05,US,1661195970
223,Conceição da Barra,-18.5933,-39.7322,70.95,69,100,13.29,BR,1661195971
224,Hornepayne,49.2138,-84.7705,69.78,61,100,6.24,CA,1661195971
225,The Valley,18.217,-63.0578,87.82,74,40,11.5,AI,1661195972
226,Evensk,61.95,159.2333,51.64,98,100,1.28,RU,1661195972
227,Saint George,37.1041,-113.5841,94.78,32,0,3.0,US,1661195973
228,Esperance,-33.8667,121.9,55.22,56,100,10.49,AU,1661195974
229,Ongandjera,-17.8833,15.0667,66.36,12,0,9.31,NA,1661195976
230,Yamada,39.4667,141.95,73.13,97,84,8.25,JP,1661195976
231,Lorengau,-2.0226,147.2712,81.37,71,12,10.22,PG,1661195976
232,Faanui,-16.4833,-151.75,77.41,76,50,16.28,PF,1661195977
233,Severo-Kuril'sk,50.6789,156.125,54.57,79,100,2.37,RU,1661195978
234,Mount Isa,-20.7333,139.5,62.37,31,0,10.36,AU,1661195978
235,Sydney Mines,46.2367,-60.2177,80.19,64,40,11.5,CA,1661195979
236,Quatre Cocos,-20.2078,57.7625,72.09,74,89,16.37,MU,1661195979
237,Ereymentau,51.6199,73.1033,50.23,68,43,6.44,KZ,1661195980
238,Pisco,-13.7,-76.2167,60.85,82,100,10.36,PE,1661195980
239,Bereda,43.2686,-7.5406,68.41,96,100,6.4,ES,1661195980
240,Yellowknife,62.456,-114.3525,68.56,45,40,17.0,CA,1661195796
241,Solihull,52.4143,-1.7809,67.91,87,40,8.05,GB,1661195981
242,Rincon,32.296,-81.2354,87.76,75,75,6.91,US,1661195982
243,Poim,53.0264,43.1872,71.29,48,0,8.95,RU,1661195982
244,Camaná,-16.6228,-72.7111,63.55,71,47,7.92,PE,1661195983
245,Axum,14.1245,38.7244,57.9,88,78,1.7,ET,1661195983
246,Swan River,52.1058,-101.2676,71.49,56,87,8.05,CA,1661195984
247,Houma,29.5958,-90.7195,91.4,89,100,13.8,US,1661195984
248,Alamosa,37.4695,-105.87,71.58,46,20,5.75,US,1661195985
249,Staryy Nadym,65.6118,72.6842,60.69,86,100,5.91,RU,1661195985
250,Ayagoz,47.9714,80.4392,51.8,58,0,8.81,KZ,1661195986
251,Sørland,67.667,12.6934,53.46,86,90,29.04,NO,1661195987
252,Esim,4.8699,-2.2405,75.24,88,97,10.07,GH,1661195987
253,Daru,-9.0763,143.2092,76.41,88,84,15.01,PG,1661195987
254,Mareeba,-17.0,145.4333,61.45,93,10,1.95,AU,1661195988
255,Brookhaven,31.5791,-90.4407,87.46,74,100,3.33,US,1661195989
256,Lázaro Cárdenas,17.9583,-102.2,87.87,58,1,10.18,MX,1661195990
257,Flin Flon,54.7682,-101.865,66.04,59,100,4.61,CA,1661195732
258,Anshun,26.25,105.9333,66.38,97,97,2.95,CN,1661195991
259,Zenzeli,45.9241,47.0474,74.19,43,3,7.58,RU,1661195991
260,Yumen,40.2833,97.2,60.49,69,99,4.85,CN,1661195991
261,St. George's,12.0564,-61.7485,83.88,74,75,11.5,GD,1661195992
262,Fairbanks,64.8378,-147.7164,68.0,69,75,4.61,US,1661195820
263,Los Llanos de Aridane,28.6585,-17.9182,71.35,83,20,14.97,ES,1661195993
264,Korbous,36.8167,10.5687,82.44,64,2,19.73,TN,1661195993
265,Dossor,47.5272,52.9811,76.3,23,0,13.42,KZ,1661195994
266,Beyneu,45.3167,55.2,79.97,26,0,14.0,KZ,1661195994
267,Vilyuysk,63.7553,121.6247,41.94,93,100,6.26,RU,1661195995
268,Campoverde,-8.4753,-74.8058,87.49,26,5,3.27,PE,1661195995
269,Meulaboh,4.1363,96.1285,76.6,87,100,6.2,ID,1661195996
270,Tarko-Sale,64.9225,77.785,58.41,87,91,10.96,RU,1661195996
271,Riyadh,24.6877,46.7219,98.74,11,43,8.9,SA,1661195827
272,Cabo San Lucas,22.8909,-109.9124,93.18,51,20,11.5,MX,1661195903
273,Port Macquarie,-31.4333,152.9167,43.9,77,100,7.9,AU,1661195997
274,Paamiut,61.994,-49.6678,42.15,82,100,20.02,GL,1661195998
275,Srednekolymsk,67.45,153.6833,55.96,90,95,5.01,RU,1661195998
276,Inhambane,-23.865,35.3833,64.51,63,0,8.55,MZ,1661195999
277,Port Hedland,-20.3167,118.5667,59.05,44,0,9.22,AU,1661195999
278,Vestmanna,62.1564,-7.1664,50.92,87,75,14.97,FO,1661196000
279,Tuatapere,-46.1333,167.6833,39.09,86,94,6.78,NZ,1661196000
280,Bundaberg,-24.85,152.35,53.22,99,30,1.01,AU,1661196001
281,Roald,62.5833,6.1333,58.75,76,89,3.44,NO,1661196001
282,Svetlaya,46.5389,138.3297,62.71,88,100,11.86,RU,1661196002
283,Okakarara,-20.5833,17.4333,56.7,17,0,4.14,NA,1661196002
284,Simga,21.6333,81.7,76.6,83,4,8.46,IN,1661196003
285,Sirte,31.2089,16.5887,81.86,66,0,11.27,LY,1661196003
286,Bloemfontein,-29.1211,26.214,45.88,49,5,1.14,ZA,1661196004
287,Makīnsk,52.6292,70.4169,51.12,72,100,4.52,KZ,1661196004
288,Guaynabo,18.3575,-66.111,88.43,75,40,10.36,PR,1661196005
289,Carutapera,-1.195,-46.02,84.13,63,99,10.36,BR,1661196005
290,Kozhva,65.1073,57.0459,63.03,62,100,5.21,RU,1661196006
291,Airai,-8.9266,125.4092,51.98,67,99,4.18,TL,1661196006
292,Aykhal,66.0,111.5,36.37,99,100,7.05,RU,1661196007
293,Portland,45.5234,-122.6762,84.78,45,20,4.61,US,1661195855
294,Morón,-34.6534,-58.6198,62.8,61,52,7.05,AR,1661196008
295,Areosa,41.7178,-8.8571,70.83,75,73,17.31,PT,1661196008
296,Booué,-0.0921,11.9385,73.81,90,100,2.3,GA,1661196009
297,Namatanai,-3.6667,152.4333,78.13,79,27,4.88,PG,1661196009
298,Punakha,27.5837,89.8598,70.54,91,50,2.17,BT,1661196010
299,Mogadishu,2.0371,45.3438,75.88,87,7,19.04,SO,1661196010
300,Grand Gaube,-20.0064,57.6608,72.37,70,96,7.0,MU,1661196011
301,Argelia,2.2556,-77.2488,80.58,43,79,3.6,CO,1661196011
302,Sesimbra,38.4445,-9.1015,76.15,65,0,15.28,PT,1661196012
303,Joshīmath,30.5667,79.5667,69.24,85,89,1.88,IN,1661195957
304,Nome,64.5011,-165.4064,56.1,76,0,3.44,US,1661196013
305,Paulo Afonso,-9.4061,-38.2147,78.4,61,99,11.5,BR,1661196013
306,Ulaangom,49.9811,92.0667,52.48,40,51,6.31,MN,1661195789
307,Byron Bay,-28.65,153.6167,56.71,84,7,10.78,AU,1661195739
308,Burē,10.7,37.0667,56.08,95,94,4.09,ET,1661196014
309,Faya,18.3851,42.4509,77.52,36,85,6.69,SA,1661196015
310,Chapada dos Guimarães,-15.4606,-55.7497,85.66,20,99,6.29,BR,1661195848
311,Mae Sai,20.4335,99.8762,72.05,99,96,0.38,TH,1661196015
312,Lincoln,40.8,-96.667,88.14,52,75,6.91,US,1661195994
313,Mayumba,-3.432,10.6554,71.89,91,100,8.5,GA,1661196016
314,Paragominas,-2.9667,-47.4833,93.92,25,100,5.73,BR,1661196016
315,Opotiki,-38.0833,177.2833,48.38,95,71,3.38,NZ,1661196017
316,Huaraz,-9.5333,-77.5333,66.9,27,10,0.65,PE,1661196017
317,Seoul,37.5683,126.9778,71.17,94,100,9.22,KR,1661195925
318,Vostok,46.4856,135.8833,52.65,98,100,5.48,RU,1661195722
319,Pedernales,18.0384,-71.744,86.97,64,42,3.36,DO,1661196019
320,Korzhevskiy,45.1941,37.7195,78.49,27,48,14.36,RU,1661196019
321,Banjar,-8.19,114.9675,74.19,85,50,4.36,ID,1661196020
322,Carnarvon,-24.8667,113.6333,69.21,39,3,21.05,AU,1661196021
323,Jinchang,38.4953,102.1739,66.94,56,100,6.78,CN,1661196022
324,Longyearbyen,78.2186,15.6401,42.64,61,0,14.97,SJ,1661196022
325,Ryōtsu-minato,38.0833,138.4333,78.75,87,100,6.98,JP,1661196022
326,Hithadhoo,-0.6,73.0833,81.84,78,50,12.03,MV,1661196023
327,Barberton,-25.7884,31.0532,55.49,54,0,1.36,ZA,1661196024
328,Bagan,54.1001,77.6646,55.8,55,100,4.59,RU,1661196024
329,Doha,25.2867,51.5333,97.11,63,0,11.5,QA,1661195980
330,Bowen,-20.0167,148.2333,65.68,75,98,6.67,AU,1661196025
331,Iqaluit,63.7506,-68.5145,47.93,70,100,18.99,CA,1661196025
332,Vestmannaeyjar,63.4427,-20.2734,52.79,93,40,12.66,IS,1661196027
333,Copiapó,-27.3667,-70.3333,56.89,38,0,6.15,CL,1661195967
334,Altoona,40.5187,-78.3947,74.41,91,61,1.01,US,1661195751
335,Hisuā,24.8333,85.4167,84.38,71,96,5.88,IN,1661196027
336,Lavrentiya,65.5833,-171.0,38.03,76,49,1.66,RU,1661196028
337,Port Keats,-14.25,129.55,67.19,30,0,8.12,AU,1661196029
338,Togur,58.3631,82.8265,45.37,84,7,4.05,RU,1661196029
339,Saint Anthony,45.0205,-93.218,83.66,45,0,4.61,US,1661195732
340,Hofn,64.2539,-15.2082,50.56,83,100,4.94,IS,1661196030
341,Havre-St-Pierre,50.2334,-63.5986,66.56,94,100,13.8,CA,1661196030
342,Baie-Saint-Paul,47.4411,-70.4986,77.85,83,46,15.01,CA,1661196035
343,Mazara del Vallo,37.6641,12.588,80.55,62,0,11.36,IT,1661196037
344,Rio Grande,-32.035,-52.0986,69.91,74,0,6.98,BR,1661196037
345,Erdenet,49.0333,104.0833,44.53,76,100,2.66,MN,1661196041
346,Pundaguitan,6.3711,126.1689,82.69,73,100,10.22,PH,1661196041
347,Sabang,5.8933,95.3214,82.67,76,100,17.4,ID,1661196042
348,Alofi,-19.0595,-169.9187,64.29,100,20,2.3,NU,1661196042
349,Novoselytsya,48.2193,26.2653,73.18,69,54,2.39,UA,1661196043
350,Rājpīpla,21.8667,73.5,77.4,94,100,10.69,IN,1661195781
351,Clacton-on-Sea,51.7897,1.156,72.34,70,98,1.99,GB,1661196044
352,Letlhakane,-21.4167,25.5833,60.85,39,5,9.37,BW,1661196044
353,Rumphi,-11.0186,33.8575,60.37,88,10,3.36,MW,1661196045
354,Okha,53.5739,142.9478,55.2,83,100,7.38,RU,1661196045
355,Baykit,61.67,96.37,44.56,93,100,4.61,RU,1661196046
356,Malko Tarnovo,41.9833,27.5333,67.12,97,100,0.96,BG,1661196046
357,Lucea,18.451,-78.1736,84.06,75,61,9.19,JM,1661196047
358,Houston,29.7633,-95.3633,96.15,59,40,14.97,US,1661195458
